"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$385,634,434,317","3.75%","7.93%","1.22%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$122,239,642,157","1.19%","7.04%","1.38%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$339,663,138,715","3.30%","6.12%","1.93%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$144,747,385,693","1.41%","4.85%","2.64%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$1,856,382,495,330","18.03%","4.69%","0.89%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$128,724,502,848","1.25%","4.63%","1.74%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$173,246,745,259","1.68%","4.48%","2.17%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$133,132,011,980","1.29%","4.39%","0.00%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$499,073,760,000","4.85%","4.36%","0.56%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$154,281,636,094","1.50%","4.29%","1.65%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$206,377,243,229","2.00%","4.14%","0.00%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$116,891,464,153","1.14%","3.92%","2.89%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$450,495,054,233","4.38%","3.29%","2.34%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$311,349,477,459","3.02%","3.28%","0.51%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$486,853,014,253","4.73%","3.14%","2.22%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$39,935,199,052","0.39%","3.04%","2.12%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$124,937,693,660","1.21%","2.99%","1.10%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$128,560,064,493","1.25%","2.78%","4.46%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$400,835,462,559","3.89%","2.74%","1.52%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$337,856,124,468","3.28%","2.63%","2.33%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$209,211,246,232","2.03%","2.62%","0.78%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,124,502,302,610","20.64%","2.41%","0.65%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$199,669,808,577","1.94%","2.05%","4.97%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$201,703,769,276","1.96%","1.53%","3.13%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$50,989,499,311","0.50%","1.34%","4.05%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$235,114,440,878","2.28%","1.10%","4.27%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$47,195,935,223","0.46%","1.07%","3.38%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$225,926,100,000","2.19%","1.06%","2.40%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$235,633,348,452","2.29%","1.05%","2.98%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$223,121,366,159","2.17%","1.02%","2.71%","USA","Analyze"
