Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$17.4678,-0.2182,-1.234%,35779627.00,United States,,9252,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.5481,-0.0069,-1.243%,75211054.00,Canada,2015,596536,,
ACU,Acme United Corporation. Common Stock,$44.20,1.02,2.362%,153971893.00,United States,1988,24828,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$8.69,-0.13,-1.474%,13433732.00,United States,,235990,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.72,0.02,0.206%,139725000.00,United States,2021,2960,,
AE,Adams Resources & Energy Inc. Common Stock,$27.32,-0.68,-2.429%,116137730.00,United States,,8440,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.66,-0.16,-1.814%,439510397.00,United States,,10425,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.30,0.05,4.00%,49315614.00,,2018,72975,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.11,0.01,0.476%,83745925.00,United States,,263853,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$13.2001,1.3251,11.159%,39132554.00,United States,2014,26720,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.22,-0.01,-0.813%,39085807.00,United States,,91455,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.28,0.08,3.636%,52949968.00,China,,300451,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.96,0.01,0.513%,383550691.00,United States,,1686136,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.69,0.09,3.462%,15604690.00,United States,,1023640,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$60.00,33.60,127.273%,416836140.00,United States,2020,38981545,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$8.50,0.14,1.675%,113324134.00,Canada,,166740,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.365,0.125,2.948%,108865029.00,United States,,3183,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.32,0.00,0.00%,133145818.00,Canada,,1435271,,
ASXC,Asensus Surgical Inc. Common Stock,$2.12,-0.01,-0.469%,494355704.00,United States,,5949597,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.04,0.17,2.16%,162366747.00,United States,,152156,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.7696,-0.0032,-0.414%,125036613.00,United States,,488751,,
