Symbol,Name,"Wtd Alpha",Rank,"Prev Rank",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
DAC,"Danaos Corp",+803.66,1,2,62.49,0.55,+0.89%,68.75,3.33,"+1,402.16%",05/21/21
KIRK,"Kirkland's Inc",+795.16,2,1,27.24,-0.37,-1.34%,34.45,0.94,"+2,797.87%",05/21/21
AMTX,"Aemetis Inc",+531.08,4,7,11.16,0.34,+3.14%,27.44,0.74,"+1,181.29%",05/21/21
CMBM,"Cambium Networks Corp",+528.35,3,3,53.16,0.92,+1.76%,66.4,3.9,"+1,229.00%",05/21/21
RFP,"Resolute Forest Products Inc",+492.22,5,5,15.3,0.010000000000002,+0.07%,17.18,1.78,+705.26%,05/21/21
NMM,"Navios Maritime Partners LP",+471.97,6,6,32.96,1.01,+3.16%,36.46,5.51,+431.61%,05/21/21
UAN,"Cvr Partners LP",+442.25,8,8,60.34,-0.31,-0.51%,62.98,5.75,+566.74%,05/21/21
SPLP,"Steel Partners Hlds",+436.98,9,9,25.97,0.97,+3.88%,28.5,4.4,+467.03%,05/21/21
BGFV,"Big 5 Sporting",+436.64,7,10,28.61,0.85,+3.06%,34.95,1.53,"+1,745.81%",05/21/21
CTRN,"Citi Trends Inc",+419.41,10,4,91.73,-2.96,-3.13%,111.44,13.91,+543.72%,05/21/21
RICK,"RCI Hospitality Hold",+406.42,11,14,74.45,1.6,+2.20%,81.65,10.59,+464.02%,05/21/21
NTP,"Nam Tai Electronics",+394.70,13,11,25.23,1.39,+5.83%,25.46,3.85,+546.92%,05/21/21
NOTV,"Inotiv Inc",+384.63,12,17,26.39,0.33,+1.27%,30.43,4.47,+467.53%,05/21/21
HYRE,"Hyrecar Inc",+383.41,16,19,17.37,0.06,+0.35%,17.96,2.05,+689.55%,05/21/21
BXC,"Bluelinx Holdings Inc",+382.50,14,15,54.88,1.6,+3.00%,70.38,5.1,+984.58%,05/21/21
DDS,Dillard's,+376.02,15,18,134.08,4.62,+3.57%,152.19,22.38,+385.62%,05/21/21
RRD,"Donnelley R.R. & Sons Company",+366.43,17,35,5.6,-0.04,-0.71%,6.16,1.01,+321.05%,05/21/21
TGB,"Taseko Mines Ltd",+361.84,18,25,2.28,-0.01,-0.44%,2.67,0.39,+456.10%,05/21/21
HOME,"At Home Group Inc",+360.71,19,20,36.77,0.27,+0.74%,38.06,4.03,+720.76%,05/21/21
HOV,"Hovnanian Enterprises Inc",+351.17,20,12,121.17,-2.48,-2.01%,141,12.68,+842.22%,05/21/21
SBOW,"Silverbow Resources Inc",+338.61,21,43,15.5,0.5,+3.33%,16.99,3.06,+274.40%,05/21/21
CSSE,"Chicken Soup For The Soul Entertainment Inc",+332.89,28,48,40,1.75,+4.58%,41.98,6.45,+416.13%,05/21/21
EGLX,"Enthusiast Gaming Holdings Inc",+331.22,22,32,6.69,0,0.00%,8.88,1.04,+502.70%,05/21/21
EPIX,"Essa Pharma",+330.82,25,27,33.53,0.18,+0.54%,34.25,4.36,+548.55%,05/21/21
REPX,"Riley Exploration Permian Inc",+324.72,26,46,38.15,3.14,+8.97%,79.2,6,+529.41%,05/21/21
FNKO,"Funko Inc Cl A",+321.46,24,22,24.41,-0.15,-0.61%,27.06,4.69,+404.34%,05/21/21
SI,"Silvergate Capital Corp Cl A",+321.22,23,28,105.2,-4.45,-4.06%,187.86,12.05,+611.29%,05/21/21
SID,"Companhia Siderurgica Nacional",+320.21,27,16,8.52,-0.41,-4.59%,10.33,1.43,+468.00%,05/21/21
TWI,"Titan International",+316.89,29,30,9.32,0.08,+0.87%,11.82,1.13,+696.58%,05/21/21
RCON,"Recon Technology Ltd",+310.95,31,88,9.36,0.55,+6.24%,10.5,0.75,+152.97%,05/21/21
FCX,"Freeport-Mcmoran Inc",+308.27,30,34,40.87,-0.35,-0.85%,46.1,8.6,+359.21%,05/21/21
AVID,"Avid Tech Inc",+306.45,32,33,30.77,1.74,+5.99%,31.15,5.49,+449.46%,05/21/21
